cik,ticker,legal_name,nasdaq_listing_date,initial_matrix_due_date,candidate_rank,candidate_url
1870940,AIRS,"Airsculpt Technologies, Inc.",2021-10-29,2022-10-29,10,https://investors.elitebodysculpture.com/corporate-governance
1870940,AIRS,"Airsculpt Technologies, Inc.",2021-10-29,2022-10-29,11,https://airsculpt.elitebodysculpture.com
1870940,AIRS,"Airsculpt Technologies, Inc.",2021-10-29,2022-10-29,12,https://airsculpt.elitebodysculpture.com/investors
1831283,LIANY,LianBio,2021-11-01,2022-11-01,1,https://imetrix.edgar-online.com
1831283,LIANY,LianBio,2021-11-01,2022-11-01,2,https://imetrix.edgar-online.com/investors
1831283,LIANY,LianBio,2021-11-01,2022-11-01,3,https://imetrix.edgar-online.com/investor-relations
1831283,LIANY,LianBio,2021-11-01,2022-11-01,4,https://imetrix.edgar-online.com/governance
1831283,LIANY,LianBio,2021-11-01,2022-11-01,5,https://imetrix.edgar-online.com/corporate-governance
1831283,LIANY,LianBio,2021-11-01,2022-11-01,6,https://lian.com
1831283,LIANY,LianBio,2021-11-01,2022-11-01,7,https://lian.com/investors
1831283,LIANY,LianBio,2021-11-01,2022-11-01,8,https://lian.com/investor-relations
1831283,LIANY,LianBio,2021-11-01,2022-11-01,9,https://lian.com/governance
1831283,LIANY,LianBio,2021-11-01,2022-11-01,10,https://lian.com/corporate-governance
1831283,LIANY,LianBio,2021-11-01,2022-11-01,11,https://lianbio.com
1831283,LIANY,LianBio,2021-11-01,2022-11-01,12,https://lianbio.com/investors
1392694,SURG,"SurgePays, Inc.",2021-11-03,2022-11-03,1,https://surgeholdings.com
1392694,SURG,"SurgePays, Inc.",2021-11-03,2022-11-03,2,https://surgeholdings.com/investors
1392694,SURG,"SurgePays, Inc.",2021-11-03,2022-11-03,3,https://surgeholdings.com/investor-relations
1392694,SURG,"SurgePays, Inc.",2021-11-03,2022-11-03,4,https://surgeholdings.com/governance
1392694,SURG,"SurgePays, Inc.",2021-11-03,2022-11-03,5,https://surgeholdings.com/corporate-governance
1392694,SURG,"SurgePays, Inc.",2021-11-03,2022-11-03,6,https://surgepays.com
1392694,SURG,"SurgePays, Inc.",2021-11-03,2022-11-03,7,https://surgepays.com/investors
1392694,SURG,"SurgePays, Inc.",2021-11-03,2022-11-03,8,https://surgepays.com/investor-relations
1392694,SURG,"SurgePays, Inc.",2021-11-03,2022-11-03,9,https://surgepays.com/governance
1392694,SURG,"SurgePays, Inc.",2021-11-03,2022-11-03,10,https://surgepays.com/corporate-governance
1872529,MDXH,MDxHealth SA,2021-11-04,2022-11-04,1,https://compsciresources.com
1872529,MDXH,MDxHealth SA,2021-11-04,2022-11-04,2,https://compsciresources.com/investors
1872529,MDXH,MDxHealth SA,2021-11-04,2022-11-04,3,https://compsciresources.com/investor-relations
1872529,MDXH,MDxHealth SA,2021-11-04,2022-11-04,4,https://compsciresources.com/governance
1872529,MDXH,MDxHealth SA,2021-11-04,2022-11-04,5,https://compsciresources.com/corporate-governance
1872529,MDXH,MDxHealth SA,2021-11-04,2022-11-04,6,https://mdxhealth.com
1872529,MDXH,MDxHealth SA,2021-11-04,2022-11-04,7,https://mdxhealth.com/investors
1872529,MDXH,MDxHealth SA,2021-11-04,2022-11-04,8,https://mdxhealth.com/investor-relations
1872529,MDXH,MDxHealth SA,2021-11-04,2022-11-04,9,https://mdxhealth.com/governance
1872529,MDXH,MDxHealth SA,2021-11-04,2022-11-04,10,https://mdxhealth.com/corporate-governance
1872529,MDXH,MDxHealth SA,2021-11-04,2022-11-04,11,https://tmdx.com
1872529,MDXH,MDxHealth SA,2021-11-04,2022-11-04,12,https://tmdx.com/investors
1871149,,"Real Good Food Company, Inc.",2021-11-05,2022-11-05,1,https://investors.realgoodfoods.com/corporate-governance
1871149,,"Real Good Food Company, Inc.",2021-11-05,2022-11-05,2,https://investors.realgoodfoods.com/corporate-governance/investors
1871149,,"Real Good Food Company, Inc.",2021-11-05,2022-11-05,3,https://investors.realgoodfoods.com/corporate-governance/investor-relations
1871149,,"Real Good Food Company, Inc.",2021-11-05,2022-11-05,4,https://investors.realgoodfoods.com/corporate-governance/governance
1871149,,"Real Good Food Company, Inc.",2021-11-05,2022-11-05,5,https://investors.realgoodfoods.com/corporate-governance/corporate-governance
1871149,,"Real Good Food Company, Inc.",2021-11-05,2022-11-05,6,https://investors.realgoodfoods.com
1871149,,"Real Good Food Company, Inc.",2021-11-05,2022-11-05,7,https://investors.realgoodfoods.com/investors
1871149,,"Real Good Food Company, Inc.",2021-11-05,2022-11-05,8,https://investors.realgoodfoods.com/investor-relations
1871149,,"Real Good Food Company, Inc.",2021-11-05,2022-11-05,9,https://investors.realgoodfoods.com/governance
1871149,,"Real Good Food Company, Inc.",2021-11-05,2022-11-05,10,https://investorelections.com
1871149,,"Real Good Food Company, Inc.",2021-11-05,2022-11-05,11,https://investorelections.com/investors
1871149,,"Real Good Food Company, Inc.",2021-11-05,2022-11-05,12,https://investorelections.com/investor-relations
1718224,BTBD,"BT Brands, Inc.",2021-11-12,2022-11-12,1,https://baggerdaves.com
1718224,BTBD,"BT Brands, Inc.",2021-11-12,2022-11-12,2,https://baggerdaves.com/investors
1718224,BTBD,"BT Brands, Inc.",2021-11-12,2022-11-12,3,https://baggerdaves.com/investor-relations
1718224,BTBD,"BT Brands, Inc.",2021-11-12,2022-11-12,4,https://baggerdaves.com/governance
1718224,BTBD,"BT Brands, Inc.",2021-11-12,2022-11-12,5,https://baggerdaves.com/corporate-governance
1718224,BTBD,"BT Brands, Inc.",2021-11-12,2022-11-12,6,https://brand.bt.com
1718224,BTBD,"BT Brands, Inc.",2021-11-12,2022-11-12,7,https://brand.bt.com/investors
1718224,BTBD,"BT Brands, Inc.",2021-11-12,2022-11-12,8,https://brand.bt.com/investor-relations
1718224,BTBD,"BT Brands, Inc.",2021-11-12,2022-11-12,9,https://brand.bt.com/governance
1718224,BTBD,"BT Brands, Inc.",2021-11-12,2022-11-12,10,https://brand.bt.com/corporate-governance
1718224,BTBD,"BT Brands, Inc.",2021-11-12,2022-11-12,11,https://btbrands.com
1718224,BTBD,"BT Brands, Inc.",2021-11-12,2022-11-12,12,https://btbrands.com/investors
1840416,SSM,Sono Group N.V.,2021-11-17,2022-11-17,1,https://ir.sonomotors.com
1840416,SSM,Sono Group N.V.,2021-11-17,2022-11-17,2,https://ir.sonomotors.com/investors
1840416,SSM,Sono Group N.V.,2021-11-17,2022-11-17,3,https://ir.sonomotors.com/investor-relations
1840416,SSM,Sono Group N.V.,2021-11-17,2022-11-17,4,https://ir.sonomotors.com/governance
1840416,SSM,Sono Group N.V.,2021-11-17,2022-11-17,5,https://ir.sonomotors.com/corporate-governance
1840416,SSM,Sono Group N.V.,2021-11-17,2022-11-17,6,https://bzst.de
1840416,SSM,Sono Group N.V.,2021-11-17,2022-11-17,7,https://bzst.de/investors
1840416,SSM,Sono Group N.V.,2021-11-17,2022-11-17,8,https://bzst.de/investor-relations
1840416,SSM,Sono Group N.V.,2021-11-17,2022-11-17,9,https://bzst.de/governance
1840416,SSM,Sono Group N.V.,2021-11-17,2022-11-17,10,https://bzst.de/corporate-governance
1840416,SSM,Sono Group N.V.,2021-11-17,2022-11-17,11,https://rdgfilings.com
1840416,SSM,Sono Group N.V.,2021-11-17,2022-11-17,12,https://rdgfilings.com/investors
1815436,,Advanced Health Intelligence Ltd,2021-11-19,2022-11-19,,
1769697,FNUC,Frontier Nuclear & Minerals Inc.,2021-11-19,2022-11-19,1,https://nemaskalithium.com/en/investors/press-releases/2019/53f0e3be-0d29-475e-b37f-7090e58ede31
1769697,FNUC,Frontier Nuclear & Minerals Inc.,2021-11-19,2022-11-19,2,https://nemaskalithium.com/en/investors/press-releases/2019/53f0e3be-0d29-475e-b37f-7090e58ede31/investors
1769697,FNUC,Frontier Nuclear & Minerals Inc.,2021-11-19,2022-11-19,3,https://nemaskalithium.com/en/investors/press-releases/2019/53f0e3be-0d29-475e-b37f-7090e58ede31/investor-relations
1769697,FNUC,Frontier Nuclear & Minerals Inc.,2021-11-19,2022-11-19,4,https://nemaskalithium.com/en/investors/press-releases/2019/53f0e3be-0d29-475e-b37f-7090e58ede31/governance
1769697,FNUC,Frontier Nuclear & Minerals Inc.,2021-11-19,2022-11-19,5,https://nemaskalithium.com/en/investors/press-releases/2019/53f0e3be-0d29-475e-b37f-7090e58ede31/corporate-governance
1769697,FNUC,Frontier Nuclear & Minerals Inc.,2021-11-19,2022-11-19,6,https://nemaskalithium.com
1769697,FNUC,Frontier Nuclear & Minerals Inc.,2021-11-19,2022-11-19,7,https://nemaskalithium.com/investors
1769697,FNUC,Frontier Nuclear & Minerals Inc.,2021-11-19,2022-11-19,8,https://nemaskalithium.com/investor-relations
1769697,FNUC,Frontier Nuclear & Minerals Inc.,2021-11-19,2022-11-19,9,https://nemaskalithium.com/governance
1769697,FNUC,Frontier Nuclear & Minerals Inc.,2021-11-19,2022-11-19,10,https://nemaskalithium.com/corporate-governance
1769697,FNUC,Frontier Nuclear & Minerals Inc.,2021-11-19,2022-11-19,11,https://afr.com
1769697,FNUC,Frontier Nuclear & Minerals Inc.,2021-11-19,2022-11-19,12,https://afr.com/investors
1876581,IMPP,Imperial Petroleum Inc./Marshall Islands,2021-11-23,2022-11-23,1,https://imperialpetro.com
1876581,IMPP,Imperial Petroleum Inc./Marshall Islands,2021-11-23,2022-11-23,2,https://imperialpetro.com/investors
1876581,IMPP,Imperial Petroleum Inc./Marshall Islands,2021-11-23,2022-11-23,3,https://imperialpetro.com/investor-relations
1876581,IMPP,Imperial Petroleum Inc./Marshall Islands,2021-11-23,2022-11-23,4,https://imperialpetro.com/governance
1876581,IMPP,Imperial Petroleum Inc./Marshall Islands,2021-11-23,2022-11-23,5,https://imperialpetro.com/corporate-governance
1876581,IMPP,Imperial Petroleum Inc./Marshall Islands,2021-11-23,2022-11-23,6,https://impp.com
1876581,IMPP,Imperial Petroleum Inc./Marshall Islands,2021-11-23,2022-11-23,7,https://impp.com/investors
1876581,IMPP,Imperial Petroleum Inc./Marshall Islands,2021-11-23,2022-11-23,8,https://impp.com/investor-relations
1876581,IMPP,Imperial Petroleum Inc./Marshall Islands,2021-11-23,2022-11-23,9,https://impp.com/governance
1876581,IMPP,Imperial Petroleum Inc./Marshall Islands,2021-11-23,2022-11-23,10,https://impp.com/corporate-governance
1187953,CELZ,"CREATIVE MEDICAL TECHNOLOGY HOLDINGS, INC.",2021-12-06,2022-12-06,1,https://celz.com
1187953,CELZ,"CREATIVE MEDICAL TECHNOLOGY HOLDINGS, INC.",2021-12-06,2022-12-06,2,https://celz.com/investors
1187953,CELZ,"CREATIVE MEDICAL TECHNOLOGY HOLDINGS, INC.",2021-12-06,2022-12-06,3,https://celz.com/investor-relations
1187953,CELZ,"CREATIVE MEDICAL TECHNOLOGY HOLDINGS, INC.",2021-12-06,2022-12-06,4,https://celz.com/governance
1187953,CELZ,"CREATIVE MEDICAL TECHNOLOGY HOLDINGS, INC.",2021-12-06,2022-12-06,5,https://celz.com/corporate-governance
1187953,CELZ,"CREATIVE MEDICAL TECHNOLOGY HOLDINGS, INC.",2021-12-06,2022-12-06,6,https://creativemedicaltechnology.com
1187953,CELZ,"CREATIVE MEDICAL TECHNOLOGY HOLDINGS, INC.",2021-12-06,2022-12-06,7,https://creativemedicaltechnology.com/investors
1187953,CELZ,"CREATIVE MEDICAL TECHNOLOGY HOLDINGS, INC.",2021-12-06,2022-12-06,8,https://creativemedicaltechnology.com/investor-relations
1187953,CELZ,"CREATIVE MEDICAL TECHNOLOGY HOLDINGS, INC.",2021-12-06,2022-12-06,9,https://creativemedicaltechnology.com/governance
1187953,CELZ,"CREATIVE MEDICAL TECHNOLOGY HOLDINGS, INC.",2021-12-06,2022-12-06,10,https://creativemedicaltechnology.com/corporate-governance
1187953,CELZ,"CREATIVE MEDICAL TECHNOLOGY HOLDINGS, INC.",2021-12-06,2022-12-06,11,https://jolleymarketing.com
1187953,CELZ,"CREATIVE MEDICAL TECHNOLOGY HOLDINGS, INC.",2021-12-06,2022-12-06,12,https://jolleymarketing.com/investors
