cik,ticker,legal_name,continuation_group,continuation_status,cluster,pc1,pc2,predicted_probability
1863218,SFWL,SHENGFENG DEVELOPMENT Ltd,not_continued,not_continued_in_reviewed_filings,0,-6.175353080272171,-0.36785538018900704,0.6854413191504092
1825875,RAYA,Erayak Power Solution Group Inc.,continued,continued_other_narrative,0,-4.926874206483502,0.6061436056122513,0.7759823490050799
1938186,JYD,Jayud Global Logistics Ltd,not_continued,not_continued_in_reviewed_filings,0,-6.25790247866968,0.2204567474378717,0.555767875861955
1930510,VCIG,VCI Global Ltd,continued,continued_same_matrix,0,-5.8551225260172215,0.04690035388958623,0.4945344131494431
1855557,HLP,Hongli Group Inc.,continued,continued_same_matrix,0,-5.643211384883644,0.5828834422766224,0.8115414542740861
1938865,WAI,Top KingWin Ltd,continued,continued_same_matrix,0,-5.893622484003253,0.003786889999180915,0.647540879848862
1835022,COYA,"Coya Therapeutics, Inc.",continued,continued_other_narrative,1,2.066983191625316,2.004750846101091,0.9242290517524355
1825452,ONFO,"Onfolio Holdings, Inc",continued,continued_other_narrative,1,1.8770230393822194,0.963850892569968,0.8842587738253801
1784970,NXTT,Next Technology Holding Inc.,continued,continued_same_matrix,2,-1.3038564349481834,1.3038790830074682,0.8212534289164337
1231457,GNLX,GENELUX Corp,continued,continued_other_narrative,1,1.7735317036469582,1.495003146833076,0.9412918788927224
1414767,NCPL,Netcapital Inc.,not_continued,not_continued_in_reviewed_filings,2,1.9356265511299153,1.5589061102743689,0.7555853901708138
1852131,NXT,Nextpower Inc.,continued,continued_same_matrix,1,1.5100648750234067,-4.630542339765868,0.963839483679591
1939780,UCAR,U Power Ltd,continued,continued_same_matrix,0,-5.481774556807452,0.7641897788616728,0.7780301816664507
1937993,CVKD,"Cadrenal Therapeutics, Inc.",continued,continued_other_narrative,1,1.8268710231702352,2.125800246686972,0.9535991771966945
1901305,,"Forza X1, Inc.",not_continued,no_post_vacatur_relevant_filing,1,2.6431044861706283,2.2062768743168566,0.19473978139343298
1944399,PDC,Perpetuals.com Ltd,not_continued,not_continued_in_reviewed_filings,0,-5.629533697630663,-0.2965522539290739,0.5938316028584284
1527352,NXL,"Nexalin Technology, Inc.",continued,continued_other_narrative,1,2.720816674353384,3.109022355755806,0.9621736004770173
1347242,LIPO,LIPELLA PHARMACEUTICALS INC.,continued,continued_same_matrix,1,2.7181167448083636,2.174264881783401,0.9419777799029863
1514183,SILO,"Silo Pharma, Inc.",continued,continued_other_narrative,1,2.633975773066755,0.5762989202222056,0.8234811060410165
1932770,HERE,Here Group Ltd,not_continued,not_continued_in_reviewed_filings,0,-4.978000730720222,0.17530317641689955,0.3802341138206941
1903995,MGIH,Millennium Group International Holdings Ltd,continued,continued_other_narrative,0,-5.301220209616976,0.9669666026739,0.7357540071360555
1854572,IZM,ICZOOM Group Inc.,continued,continued_other_narrative,0,-5.227377258020595,0.49226600794242,0.8552901442567893
1945711,LVROF,Lavoro Ltd,not_continued,not_continued_in_reviewed_filings,0,-3.997658419779637,-1.3060884572601468,0.5897805888589558
1888980,LRE,"LEAD REAL ESTATE CO., LTD",not_continued,not_continued_in_reviewed_filings,0,-5.835270202697616,0.6316966145800853,0.17634966054318785
1962845,,"PIXIE DUST TECHNOLOGIES, INC.",not_continued,not_continued_in_reviewed_filings,0,-4.441097576865785,1.271800146097104,0.09932370441790075
1978527,GVH,Globavend Holdings Ltd,continued,continued_same_matrix,0,-6.102573237207458,0.3947787443832476,0.3646899821397018
1967621,ATGL,Alpha Technology Group Ltd,continued,continued_other_narrative,0,-5.574570228835742,-0.23469889137550243,0.7090493928696647
1913749,GMM,Global Mofy AI Ltd,continued,continued_same_matrix,0,-5.529962684235742,-0.18460108784542278,0.6971782196112244
1928340,GDHG,GOLDEN HEAVEN GROUP HOLDINGS LTD.,continued,continued_same_matrix,0,-5.2967310538794425,0.6741432134254856,0.4618753889068806
1907085,ODD,Oddity Tech Ltd,not_continued,not_continued_in_reviewed_filings,0,-4.083709495601176,-2.498990949599642,0.3666230527466386
1916241,PRZO,ParaZero Technologies Ltd.,not_continued,not_continued_in_reviewed_filings,0,-5.2096160318690385,1.069720308862019,0.5808336357550069
1934642,MDBH,"MDB Capital Holdings, LLC",not_continued,not_continued_in_reviewed_filings,2,1.0091920441275897,2.0599844452305383,0.4140667598048891
1956744,TRON,Tron Inc.,continued,continued_same_matrix,2,1.052139985235293,2.828687348364026,0.7845547710746924
1956827,ABVX,Abivax S.A.,not_continued,not_continued_in_reviewed_filings,0,-4.38790619686415,0.4739497349083717,0.6336532430776375
1939365,IVPR,"INSPIRE VETERINARY PARTNERS, INC.",continued,continued_other_narrative,2,1.012094573658227,2.5255757565342214,0.48686322316172936
1947244,USGO,U.S. GoldMining Inc.,continued,continued_other_narrative,1,-0.20243519431075518,0.8370164379325683,0.9921666000095163
1946703,WBUY,WEBUY GLOBAL LTD,continued,continued_other_narrative,0,-5.237414562748929,0.24131192758514877,0.6116711823799897
1329606,CETY,"Clean Energy Technologies, Inc.",continued,continued_same_matrix,2,0.854467655219176,0.5696162693210594,0.7770169221565766
1579091,CART,Maplebear Inc.,not_continued,not_continued_in_reviewed_filings,1,1.1871530548756206,-4.905747388489399,0.8390901307054909
1914805,BANL,CBL International Ltd,continued,continued_same_matrix,0,-5.311423271743777,1.6581743993476,0.9560980259763158
1400118,SGMT,Sagimet Biosciences Inc.,continued,continued_other_narrative,1,2.2073640200438636,1.830034489748029,0.8494576448516478
1944552,ANL,Adlai Nortye Ltd.,continued,continued_other_narrative,0,-1.6184229292059875,0.8931651850529772,0.76469849871657
1962918,,"ACELYRIN, Inc.",continued,continued_other_narrative,1,2.717249430385788,2.5191089951060475,0.5243085772434711
1873093,GDTC,CytoMed Therapeutics Ltd,not_continued,not_continued_in_reviewed_filings,0,-4.483697589673277,1.8178720609609003,0.4082822660633383
1764974,,Turnstone Biologics Corp.,not_continued,not_continued_in_reviewed_filings,1,2.5767954726113054,2.7192605995507595,0.6423881623763874
1951667,CTNT,CHEETAH NET SUPPLY CHAIN SERVICE INC.,continued,continued_other_narrative,1,1.1881601688429735,2.4719611247679465,0.9995635842438529
1974640,APGE,"Apogee Therapeutics, Inc.",continued,continued_other_narrative,1,1.9785848604699279,-2.3831389915440306,0.7908317399888315
1966494,,"CARGO Therapeutics, Inc.",continued,continued_same_matrix,1,2.3107328561540483,1.91856230363499,0.6203788693828477
1948294,NWGL,CL Workshop Group Ltd,continued,continued_same_matrix,0,-5.067641624986934,0.7963565019938745,0.6160433709458204
1885522,NMRA,"Neumora Therapeutics, Inc.",continued,continued_other_narrative,1,2.275998435173044,-1.140653469037281,0.9765394609929098
1837821,ZJYL,Jin Medical International Ltd.,continued,continued_same_matrix,0,-4.379176443006837,1.5987727890915815,0.7377926703378975
1887944,SHIM,Shimmick Corp,continued,continued_other_narrative,1,1.11836985779496,1.0591375890086416,0.8532904380354024
1687187,METC,"Ramaco Resources, Inc.",continued,continued_other_narrative,1,1.5784309439699977,-2.6299049218983597,0.9937744359963009
1951294,VSME,VS MEDIA Holdings Ltd,not_continued,not_continued_in_reviewed_filings,0,-5.496402920184205,0.4498959023860811,0.5254251831525397
1949478,DTCKF,DAVIS COMMODITIES Ltd,continued,continued_same_matrix,0,-5.310285368446445,1.0976918693058904,0.9851612380379546
1627282,CWD,CaliberCos Inc.,not_continued,not_continued_in_reviewed_filings,2,1.8316323829819332,2.673073026660214,0.9026278190433054
1973239,ARM,ARM HOLDINGS PLC /UK,continued,continued_other_narrative,0,-3.628271821631284,-4.115138926901539,0.8010134553052359
1946563,SXTP,"60 DEGREES PHARMACEUTICALS, INC.",continued,continued_same_matrix,1,2.044594413192545,2.3703282300123107,0.9396500724806414
1891944,PMEC,Primech Holdings Ltd,continued,continued_other_narrative,0,-5.313459484445791,0.6552308253262683,0.32904914114571143
1959224,AXG,"Solowin Holdings, Ltd.",continued,continued_other_narrative,0,-5.20996183370091,1.42818694159938,0.5301845625647756
1948884,,Gamer Pakistan Inc,not_continued,no_post_vacatur_relevant_filing,1,1.4081058738430772,1.8838940857729982,0.015280839894323738
1954269,GSIW,Garden Stage Ltd,continued,continued_same_matrix,0,-5.253656049499821,1.6050832319915664,0.8348937806291946
1859199,AIRE,reAlpha Tech Corp.,continued,continued_other_narrative,2,1.9598834954473263,2.811036733010709,0.964661278332709
